place,Name,latitude,longitude,description
"New York (Cayuga County), Auburn",1836 Willard Mansion,42.927482,-76.575001,"1836 Willard Mansion  A family home based on the  cornstarch fortune of Dr.  Sylvester Willard, philanthropist  and Secretary of the Auburn  Theological Seminary "
"New York (Cayuga County), Auburn","500 Feet &#8594; Fort Hill",42.928658,-76.572145,"500 Feet  &#8594;  Fort Hill  Prehistoric Indian fort.  Traditional birthplace  of Chief Logan.  Now a cemetery. "
"New York (Cayuga County), Auburn",Alexis De Tocqueville,42.928676,-76.566145,Alexis De Tocqueville. The 25 year-old French aristocrat and author of Democrary in America visited this area during his 1831-1832 tour of America.
"New York (Cayuga County), Auburn",Auburn Airport,42.968241,-76.602974,"1941-1952 built by the / flying farmers: Leman Ingalls, / Hugh Darrow, Ralph Bower, / Frank Nugent. Offered / lessons and charter flights"
"New York (Cayuga County), Auburn",Auburn Prison,42.93518,-76.570722,Auburn Prison  Erection commenced 1816  First prisoners 1817  assisted in construction  First electrocution  in the world 1890 
"New York (Cayuga County), Auburn",Auburn Prison,42.935106,-76.570808,Auburn Prison  Convicts made sewing silk  1841 - 1846  Here was principal cash  market in U. S. for  cocoons and raw silk 
"New York (Cayuga County), Auburn",Case Research Lab,42.927397,-76.575187,Case Research Lab  Birthplace of talking movies  in 1924. Theodore Case  developed sound film and  partnered with Fox Studios  to create Movietone News. 
"New York (Cayuga County), Auburn",Cayuga County,42.930052,-76.569288,"[front] 1941 1947, Cayuga County. This tablet is erected by Cayuga County to the memory of those who gave their lives for their country in World War II.  [right side] 1950 1953, Cayuga County. This tablet is erected by Cayuga County to the memory  . . . "
"New York (Cayuga County), Auburn",Cayuga County Bicentennial Memorial Garden at Willard Chapel,42.93680032,-76.56418204,. . . 
"New York (Cayuga County), Auburn",Cayuga County Court House,42.930093,-76.56918,Cayuga County  Court House  Frame building erected on  rear of this lot 1809.  Present building erected 1836.  reconstructed 1922-24. 
"New York (Cayuga County), Auburn",Cold Spring Cemetery,42.95267,-76.578882,First Irish Catholic cem.  Resting place of immigrants  from famine in Ireland 1845-1850.  Many Civil War vets buried here 
"New York (Cayuga County), Auburn",David Munson Osborne / Thomas Mott Osbourne,42.922978,-76.565553,"David Munson Osborne  Born 1822 - Died 1886  Lived here - House demolished 1936.  Founded D.M. Osbourne Company  manufacturer of harvesting machines.  Mayor of Auburn, 1879-1881   Thomas Mott Osbourne  Born 1859 - Died 1926  Lived here - House  . . . "
"New York (Cayuga County), Auburn",David Munson Osborne Memorial City Hall,42.929988,-76.565911,"Opened 1930- Henry Shepley, architect. Donated by Helen Osborne Storrow and Emily Osborne Harris in memory of their father, D.M. Osborne."
"New York (Cayuga County), Auburn",Dedicated to the Memory of William H. Seward,42.930121,-76.569078,"Dedicated to the Memory of William H. Seward who as a young Auburn lawyer practiced law in Cayuga County Court House. He rose to become governor of New York, United States Senator, Secretary of State under Lincoln and Johnson. He was Lincoln's  . . . "
"New York (Cayuga County), Auburn",Dr. Jerome Holland,42.9221309,-76.5761918,"1916-1985. Hampton Inst. & Delaware St. Coll. President. NYSE Director, Ambassador to Sweden, All-American football player. Site of former home."
"New York (Cayuga County), Auburn",During the War of 1812,42.928305,-76.573327,During the  War of 1812  barracks were established  in this locality. Troops passing to and  from Niagara camped here. 
